Word	Lemma	Part of Speech	Gloss
nō	nō	adv	not at all
hwæþre	hwæþre	adv	however
hē	hē	nsppn	he
ofer	ofer	prep	more than
Offan	Offa	dsn	Offa
eorlscype	eorlscipe	asn	manliness
fremede,	fremman	pret.sv	achieve
ac	ac	conj	but
Offa	Offa	asn	Offa
geslog	geslean	psv	won
ærest	ærest	adj	first
monna,	monn	gpn	men
cnihtwesende,	cnihtwesende	pp	being a youth
cynerica	cynerice	gpn	king-realm
mǣst.	mǣst	adj	greatest
Nænig	nænig	pn	Not any
efeneald	efeneald	adj	contemporaries
him	hē	gsn	of him
eorlscipe	eorlscipe	nsn	manliness
māran	māra	adj	more
on	on	prep	in
ōrette.	ōrettan	pret.sv	fighting
Āne	āne	isn	one
sweorde	sweord	isn	sword
merce	merc	asn	boundary
gemǣrde	gemǣran	pret.sv	defined
wið	wið	prep	against
Myrgingum	Myrgingas	dpn	the Myrgings
bī	bī	prep	by
Fīfeldore;	Fīfeldore	dsn	Fifeldore
heoldon	healdan	pret.pv	held
forð	forð	adv	thenceforth
sīþþan	sīþþan	adv	afterwards
Engle	Ongel	asn	the Angles
ond	ond	conj	and
Swæfe,	Swæfe	asn	the Suebi
swā	swā	conj	as
hit	hē	asn	he
Offa	Offa	asn	Offa
geslog	geslean	psv	won
Hroþwulf	Hroþwulf	nsn	Hroþwulf
ond	ond	conj	and
Hroðgar	Hroðgar	nsn	Hroðgar
heoldon	healdan	pret.pv	held
lengest	lengest	adv	longest
sibbe	sibb	gsn	kinship
ætsomne	ætsomne	adv	together
suhtorfædran,	suhtorfædran	npn	nephew and uncle
siþþan	siþþan	conj	after he
hȳ	hē	ppn	he
forwrǣcon	forwrecan	pret.pv	drove off
wicinga	wicingas	gpn	the Wicing
cynn	cynn	asn	tribe
ond	ond	conj	and
Ingeldes	Ingeld	gsn	Ingeld
ord	ord	asn	vanguard
forbīgdan,	forbīgan	pret.pv	humbled
forhēowan	forhēawan	pret.pv	cut to pieces
æt	æt	prep	at
Heorote	Heorot	dsn	Heorot
Heaðobeardna	Heaðobeardan	gpn	of the Heathobards
þrym.	þrym	asn	force
Swā	swā	conj	as
ic	ic	pn	I
geondfērde	geondfēran	pret.sv	traverse
fela,	fela	adj	many
fremdra	fremde	adj	foreign
londa	lond	gpn	lands
geond	geond	prep	throughout
ginne	ginn	adj	wide
grund.	grund	asn	region
Gōdes	gōd	nsn	good things
ond	ond	conj	and
yfles	yfel	gsn	evil things
þǣr	þǣr	adv	there
ic	ic	pn	I
cunnade	cunnian	pret.psv	experience
cnōsle	cnōsl	dsn	kindred
bidǣled,	bidǣlan	ppv	deprived of
frēomǣgum	frēomǣg	dpn	generous kinsmen
feor	feor	adj	far
folgade	folgian	pret.sv	served
wīde.	wīde	adv	widely
Forþon	forþon	conj	therefore
ic	ic	pn	I
mæg	magan	psv	will
singan	singan	v	sing
ond	ond	conj	and
secgan	secgan	v	speak
spell,	spell	asn	tale
mǣnan	mǣnan	v	make known
fore	fore	prep	before
mengo	mengo	dsn	company
in	in	prep	in
meoduhealle	meoduheall	dsn	mead-hall
hū	hū	adv	how
me	me	dsppn	me
cynegōde	cynegōd	adj	well-born
cystum	cyst	ipn	a choice gift
dohten.	dugan	pret.subj.pv	would be generous
Ic	ic	pn	I
wæs	wesan	psv	was
mid	mid	prep	with
