Lemma	Form	POS	Line	Gloss
wlonc	wlonce,	adj	106	proud
wlonc	wloncan	adj	118	proud
Wod	Wod	nsn	30	Wod
Woingas	Woingum,	dpn	30	the Woings
word	wordum	ipn	107	words
wordhord	wordhord	as	1	wordhoard/vocabulary
worn	worn	asn	9	a great number (of words)
wræcca	wræccan	npn	129	wanderers
wraþ	wraþes	adj	9	hostile
Wrosnan	Wrosnum.	dpn	33	Wrosnan
Wudga	Wudgan	asn	124	Wudga
Wudga	Wudga	nsn	130	Wudga
Wulfhere	Wulfhere	asn	119	Wulfhere
Wulfingas	Wulfingum,	dpn	29	the Wulfings
wyrcan	wyrcenne,	dsn	72	earning
Wyrmhere	Wyrmhere;	asn	119	Wyrmhere
yfel	yfles	gsn	51	evil things
ymb	ymb	prep	121	about
Yte	Ytum	dpn	26	the Jutes
Yumbran	Ymbrum,	dpn	32	the Ymbran
þa	þa	adv	9	then
þā	þa	conj	94	when
þā	þā	adv	97	then
þǣr	þǣr	adv	52	there
þǣr	þǣr	adv	65	there
þǣr	þǣr	adv	66	there
þǣr	þǣr	adv	89	there
þǣr	þǣr	adv	119	there
þǣr	þǣr	adv	129	there
þæs	þæs	conj	95	because
þæt	þæt	conj	108	that
þæt	þæt	conj	132	that
þǣt	þǣt	nsn	67	that
þe	þe	rpn	2	that
þe	þe	in	13	who
þe	þe	in	17	who
þe	þe	in	77	who
þe	þe	in	95	who
þe	þe	in	107	who
þe	þe	in	126	who
þe	þe	in	133	who
þe	þe	in	140	who
þēah	þēah	conj	126	although
þearf	þearfe	asn	137	need
þeaw	þeawum	dpn	11	good custom
þenden	þenden	conj	134	while
þeod	þeodna	npn	11	men
þēod	þēode;	asn	128	band
þeodenstol	þeodenstol	n	13	king-stool
þeodric	þeodric	nsn	24	Theodric
þeodric	þeodric,	asn	115	Theodric
þoncword	þoncword	apn	137	thank-words
þonne	þonne	conj	100	when
þonne	Ðonne	conj	103	then
þonne	þonne	adv	106	then
þonne	þonne	conj	120	when
þrāg	þrāge,	asn	88	time
Þrowend	Þrowendum,	dpn	64	Þrowend
þrym	þrym.	asn	49	force
Þyle	Þyle	nsn	24	Thyle
Þyringas	Þyringum,	dpn	30	the Thuringians
Þyringas	Þyringum	dpn	64	the Thuringians
